1 byte (L, U1, I1, E1 and X1 types),
2 bytes (U2, I2, E2 and X2 types),
4 byte (U4, I4, E4, X4 and R4 types),
8 bytes (U8, I8, X8 and R8 types)

Key ID|Configuration item|Type|Scale|Unit|Description
0x10260013|CFG-BATCH-ENABLE|L|-|-|Enable data batching Enable the feature. Note that it will do nothing unless a positive value is set for CFG-BATCH-MAXENTRIES.
0x10260014|CFG-BATCH-PIOENABLE|L|-|-|Enable PIO notification Enable PIO notification when the buffer fill level exceeds WARNTHRS.
0x30260015|CFG-BATCH-MAXENTRIES|U2|-|-|Maximum entries in buffer Size of buffer in number of epochs to store.  The firmware will reject this configuration if it exceeds the available memory.
0x30260016|CFG-BATCH-WARNTHRS|U2|-|-|Buffer fill level warning threshold Buffer fill level that triggers PIO notification, in number of epochs stored.
0x10260018|CFG-BATCH-PIOACTIVELOW|L|-|-|PIO is active low If this is set the PIO selected with CFG-BATCH-PIOID will be driven low when the buffer fill level reaches WARNTHRS.  Otherwise the polarity of the PIO will be the opposite.
0x20260019|CFG-BATCH-PIOID|U1|-|-|PIO ID for buffer level notification PIO that is used for buffer fill level notification. It must not be assigned to a different function.
0x1026001a|CFG-BATCH-EXTRAPVT|L|-|-|Include extra PVT data Include additional PVT information in UBX-LOG-BATCH messages. If not selected only basic information is included.  The fields iTOW , tAcc , numSV , hMSL , vAcc , velN , velE , velD , sAcc , headAcc and pDOP in UBX-LOG-BATCH are only valid if this flag is set.
0x1026001b|CFG-BATCH-EXTRAODO|L|-|-|Include odometer data The fields distance , totalDistance and distanceStd in UBX-LOG-BATCH are only valid if this flag is set.
0x10340014|CFG-BDS-USE_GEO_PRN|L|-|-|Use BeiDou geostationary satellites (PRN 1-5 and 59-63)
0x10a3002e|CFG-HW-ANT_CFG_VOLTCTRL|L|-|-|Active antenna voltage control flag Enable active antenna voltage control flag. Used by EXT and MADC engines.
0x10a3002f|CFG-HW-ANT_CFG_SHORTDET|L|-|-|Short antenna detection flag Enable short antenna detection flag. Used by EXT and MADC engines.
0x10a30030|CFG-HW-ANT_CFG_SHORTDET_POL|L|-|-|Short antenna detection polarity Set to true if polarity of the antenna short detection is active low. Used by EXT engine.
0x10a30031|CFG-HW-ANT_CFG_OPENDET|L|-|-|Open antenna detection flag Enable open antenna detection flag. Used by EXT and MADC engines.
0x10a30032|CFG-HW-ANT_CFG_OPENDET_POL|L|-|-|Open antenna detection polarity Set to true if polarity of the antenna open detection is active low. Used by EXT engine.
0x10a30033|CFG-HW-ANT_CFG_PWRDOWN|L|-|-|Power down antenna flag Enable power down antenna logic in the event of antenna short circuit. CFG-HW-ANT_CFG_SHORTDET must be enabled to use this feature. Used by EXT and MADC engines.
